product_id,category,product_category,brand,price,product_price,margin,product_margin,inventory,rating,review_count,price_elasticity_score,image_feature_vector,text_description,views,clicks,cart_additions,purchases,revenue,avg_discount,competitor_price,inventory_level,ctr,conversion_rate,demand_score,competitor_price_index,current_price,competitor_price_pricing,discount_percentage,margin_pricing,price_elasticity_score_pricing,minimum_margin_threshold,inventory_level_inventory,reorder_point,supplier_lead_time,stockout_flag,demand_forecast,inventory_risk
P000024,Grocery,Grocery,KindTable,15.33,15.33,0.436,0.436,755,4.25,295,1.33,"[-0.5324,-0.1357,0.1487,0.6199,-0.2975,0.3937,-0.2008,-0.0888]","KindTable grocery item with fresh design, 295 reviews, and 4.2 average rating.",12,2,3,1,13.53639,0.1256,15.440000000000001,744.05,0.16666666666666666,0.08333333333333333,0.48941623125197536,1.0071754729288978,15.33,14.82,0.12,0.436,1.33,0.356,755,28,19,0,32.41,normal
P000025,Sports,Sports,Fieldstone,103.41,103.41,0.276,0.276,606,3.86,96,1.053,"[0.0815,0.4489,0.5471,-0.0285,0.5578,0.0380,-0.3451,-0.2450]","Fieldstone sports item with recovery design, 96 reviews, and 3.9 average rating.",2,2,1,4,350.04285,0.11866666666666667,102.60444444444445,601.8888888888889,1.0,2.0,1.4400470605953453,0.9922100806928195,103.41,114.02,0.182,0.276,1.053,0.196,606,13,12,0,12.27,normal
P000026,Electronics,Electronics,PixelForge,205.52,205.52,0.351,0.351,183,3.56,423,1.284,"[-0.3842,0.1753,-0.0484,-0.6760,0.3428,-0.2234,-0.1971,-0.3950]","PixelForge electronics item with wireless design, 423 reviews, and 3.6 average rating.",8,1,1,1,189.69496,0.11923076923076924,207.33384615384617,174.69230769230768,0.125,0.125,0.4687162312519754,1.0088256430218283,205.52,211.67,0.067,0.351,1.284,0.271,183,17,3,0,18.99,normal
P000027,Fashion,Fashion,LinenLane,46.43,46.43,0.365,0.365,492,4.72,328,0.648,"[0.3233,-0.1004,0.3376,0.1161,-0.0397,0.1057,0.5910,0.6292]","LinenLane fashion item with streetwear design, 328 reviews, and 4.7 average rating.",12,4,0,4,162.92287,0.1544782608695652,47.582608695652176,494.7826086956522,0.3333333333333333,0.3333333333333333,0.9991803939286785,1.0248246542246862,46.43,37.88,0.191,0.365,0.648,0.285,492,31,2,0,28.18,normal
P000028,Electronics,Electronics,VoltEdge,348.12,348.12,0.466,0.466,258,4.14,157,1.257,"[-0.2224,-0.4242,-0.5532,-0.2982,-0.1224,-0.0782,0.5170,0.2952]","VoltEdge electronics item with gaming design, 157 reviews, and 4.1 average rating.",8,2,2,4,1132.78248,0.12161111111111111,347.43111111111114,260.6111111111111,0.25,0.5,0.9984470605953452,0.9980211166009167,348.12,343.05,0.269,0.466,1.257,0.386,258,20,17,0,20.01,normal
P000029,Electronics,Electronics,VoltEdge,245.14,245.14,0.347,0.347,230,4.42,229,1.512,"[-0.3523,0.0020,0.8015,0.0688,0.4422,0.0282,0.1792,-0.0175]","VoltEdge electronics item with portable design, 229 reviews, and 4.4 average rating.",7,7,1,3,631.2355,0.17542857142857143,247.82238095238097,231.52380952380952,1.0,0.42857142857142855,1.0421467482182365,1.0109422409740596,245.14,290.3,0.056,0.347,1.512,0.267,230,17,9,0,21.09,normal
P000030,Beauty,Beauty,Aster,39.64,39.64,0.414,0.414,722,4.41,157,1.376,"[0.4417,0.1492,-0.1165,0.1848,-0.1256,0.3807,-0.7453,-0.1366]","Aster beauty item with clean formula design, 157 reviews, and 4.4 average rating.",15,6,3,7,225.03628,0.1303939393939394,39.85151515151515,720.5757575757576,0.4,0.4666666666666667,1.2413820270892595,1.005335901905024,39.64,45.23,0.089,0.414,1.376,0.334,722,14,8,0,16.28,normal
P000031,Sports,Sports,MotionWorks,39.64,39.64,0.489,0.489,463,3.5,443,0.965,"[0.8015,0.1440,-0.1853,0.1540,-0.5169,-0.0985,0.0329,-0.0285]","MotionWorks sports item with outdoor design, 443 reviews, and 3.5 average rating.",7,4,0,3,106.35412,0.1084,39.74333333333333,457.53333333333336,0.5714285714285714,0.42857142857142855,0.9288324625039508,1.0026067944836865,39.64,37.11,0.177,0.489,0.965,0.409,463,19,2,0,18.6,normal
P000032,Grocery,Grocery,DailyCrop,23.55,23.55,0.433,0.433,478,4.85,175,0.82,"[-0.3361,0.5057,-0.0724,0.5315,-0.1675,0.5509,0.0498,0.0978]","DailyCrop grocery item with fresh design, 175 reviews, and 4.9 average rating.",7,5,0,1,16.885350000000003,0.13193749999999999,24.276875,470.5,0.7142857142857143,0.14285714285714285,0.6288448026805468,1.0308651804670912,23.55,24.21,0.146,0.433,0.82,0.353,478,31,3,0,25.08,normal
P000033,Home,Home,Civica,161.72,161.72,0.305,0.305,182,3.48,206,0.967,"[0.3407,-0.7106,-0.2334,-0.5005,-0.2452,0.0735,-0.0532,-0.0752]","Civica home item with minimal design, 206 reviews, and 3.5 average rating.",5,4,2,0,0.0,0.16705882352941176,167.48470588235293,172.11764705882354,0.8,0.0,0.2644,1.035646214953951,161.72,171.14,0.122,0.305,0.967,0.225,182,11,13,0,9.58,normal
P000034,Home,Home,NestForm,89.99,89.99,0.299,0.299,63,4.32,402,1.339,"[0.1029,0.7062,-0.0302,-0.1066,-0.2615,-0.3582,-0.4319,-0.3084]","NestForm home item with compact design, 402 reviews, and 4.3 average rating.",4,1,2,1,74.33174,0.1418888888888889,91.83666666666666,57.77777777777778,0.25,0.25,0.5415162312519753,1.0205207986072526,89.99,93.28,0.149,0.299,1.339,0.219,63,16,16,0,15.95,normal
P000035,Fashion,Fashion,Arden,56.62,56.62,0.384,0.384,242,4.47,166,0.928,"[0.2345,0.0804,-0.6193,-0.0291,0.1121,-0.3847,0.0812,-0.6221]","Arden fashion item with classic design, 166 reviews, and 4.5 average rating.",8,2,0,3,142.90887999999998,0.12053846153846154,55.06153846153846,249.0,0.25,0.375,0.8829324625039509,0.9724750699671223,56.62,53.69,0.037,0.384,0.928,0.304,242,19,18,0,17.46,normal
P000036,Electronics,Electronics,Northstar,535.53,535.53,0.36,0.36,436,3.65,335,1.05,"[-0.3111,0.2073,0.5795,-0.3414,-0.2430,0.0683,0.4674,-0.3546]","Northstar electronics item with gaming design, 335 reviews, and 3.7 average rating.",17,4,2,4,1828.83495,0.11739999999999999,538.4326666666667,442.9,0.23529411764705882,0.23529411764705882,0.9278647076541687,1.0054201756515353,535.53,548.2,0.115,0.36,1.05,0.28,436,13,13,0,17.95,normal
P000037,Electronics,Electronics,PixelForge,370.04,370.04,0.248,0.248,789,3.93,113,1.232,"[-0.6686,0.1941,-0.2175,0.4801,-0.2364,-0.2398,0.2038,0.2874]","PixelForge electronics item with high resolution design, 113 reviews, and 3.9 average rating.",17,9,0,3,1029.08124,0.11741176470588235,367.73911764705883,780.8529411764706,0.5294117647058824,0.17647058823529413,0.882908933092186,0.9937820712546179,370.04,331.7,0.312,0.248,1.232,0.168,789,10,10,0,15.63,normal
P000038,Fashion,Fashion,Arden,67.55,67.55,0.423,0.423,342,3.54,137,1.302,"[-0.3426,-0.5449,0.3032,0.1026,-0.2608,0.6164,-0.1872,0.0136]","Arden fashion item with premium cotton design, 137 reviews, and 3.5 average rating.",6,2,2,2,120.57675,0.11661538461538462,66.55,330.46153846153845,0.3333333333333333,0.3333333333333333,0.7339088632339827,0.9851961509992598,67.55,69.02,0.088,0.423,1.302,0.343,342,12,9,0,13.1,normal
P000039,Home,Home,NestForm,104.1,104.1,0.418,0.418,238,4.74,195,0.33,"[0.4236,0.6703,-0.1066,-0.5093,-0.0816,-0.0753,-0.0499,-0.2928]","NestForm home item with compact design, 195 reviews, and 4.7 average rating.",9,5,2,2,163.8534,0.10466666666666666,102.87619047619049,242.33333333333334,0.5555555555555556,0.2222222222222222,0.7921310854562049,0.9882439046704178,104.1,112.71,0.052,0.418,0.33,0.338,238,13,10,0,13.42,normal
P000040,Beauty,Beauty,Glowry,51.15,51.15,0.26,0.26,315,4.22,400,1.035,"[-0.0454,0.1965,-0.5528,0.0525,-0.1247,0.5903,-0.0556,0.5328]","Glowry beauty item with daily care design, 400 reviews, and 4.2 average rating.",8,2,2,2,96.11085,0.174875,50.7875,322.4375,0.25,0.25,0.7209755299006495,0.9929130009775171,51.15,55.47,0.015,0.26,1.035,0.18,315,19,10,0,19.11,normal
