event_id,user_id,session_id,timestamp,event_type,product_id,product_category,product_price,discount_percentage,competitor_price,inventory_level,rating,review_count,user_location,device_type,search_query,dwell_time_seconds,page_position,purchase_label,return_label,promotion_flag,holiday_flag,seasonality_factor
E000000167,U000067,S0067-20250102-70,2025-01-02 02:08:00,click,P000019,Sports,70.52,0.017,72.52,441,4.49,464,CA,mobile,premium lightweight sports,91,1,0,0,0,0,0.991
E000000657,U000044,S0044-20250102-75,2025-01-02 03:52:00,click,P000010,Fashion,55.71,0.094,55.93,511,4.63,309,AZ,tablet,fast shipping classic fashion,21,10,0,0,0,0,0.991
E000000174,U000024,S0024-20250102-77,2025-01-02 04:45:00,view,P000022,Home,108.23,0.033,109.49,815,3.83,252,CO,tablet,fast shipping compact home,31,1,0,0,0,0,0.991
E000000382,U000078,S0078-20250102-91,2025-01-02 04:55:00,view,P000019,Sports,70.52,0.122,67.06,446,4.49,464,GA,mobile,premium lightweight sports,56,1,0,0,0,0,0.991
E000000260,U000062,S0062-20250102-66,2025-01-02 06:10:00,click,P000011,Home,156.14,0.09,144.84,460,3.98,152,CA,mobile,premium energy saving home,27,1,0,0,0,0,0.991
E000000527,U000062,S0062-20250102-42,2025-01-02 06:37:00,click,P000011,Home,156.14,0.212,179.46,431,3.98,152,CA,mobile,discount compact home,26,2,0,0,0,0,0.991
E000000443,U000015,S0015-20250102-55,2025-01-02 06:55:00,view,P000008,Sports,74.35,0.02,76.6,703,3.43,247,GA,mobile,near me breathable sports,30,5,0,0,0,0,0.991
E000000615,U000052,S0052-20250102-33,2025-01-02 07:09:00,view,P000010,Fashion,55.71,0.13,55.19,504,4.63,309,IL,mobile,premium tailored fashion,46,3,0,0,0,0,0.991
E000000164,U000010,S0010-20250102-67,2025-01-02 09:00:00,view,P000030,Beauty,39.64,0.218,38.52,724,4.41,157,WA,mobile,near me clean formula beauty,56,9,0,0,0,0,0.991
E000000515,U000044,S0044-20250102-30,2025-01-02 09:02:00,view,P000017,Fashion,39.76,0.08,37.24,780,4.11,280,AZ,tablet,discount tailored fashion,80,1,0,0,0,0,0.991
E000000235,U000027,S0027-20250102-41,2025-01-02 09:11:00,view,P000011,Home,156.14,0.095,157.92,450,3.98,152,CO,desktop,best modern home,28,1,0,0,0,0,0.991
E000000335,U000044,S0044-20250102-44,2025-01-02 09:24:00,click,P000021,Sports,38.68,0.079,40.12,720,4.31,88,AZ,tablet,best outdoor sports,10,35,0,0,0,0,0.991
E000000136,U000012,S0012-20250102-39,2025-01-02 09:55:00,view,P000037,Electronics,370.04,0.082,365.43,739,3.93,113,GA,mobile,best portable electronics,41,16,0,0,0,0,0.991
E000000351,U000042,S0042-20250102-60,2025-01-02 10:27:00,purchase,P000030,Beauty,39.64,0.106,40.94,685,4.41,157,AZ,mobile,best refillable beauty,67,3,1,0,0,0,0.991
E000000668,U000050,S0050-20250102-86,2025-01-02 10:34:00,search,P000023,Grocery,16.79,0.222,16.74,653,4.71,205,CA,mobile,fast shipping fresh grocery,48,1,0,0,0,0,0.991
E000000386,U000003,S0003-20250102-95,2025-01-02 12:13:00,view,P000027,Fashion,46.43,0.224,47.07,527,4.72,328,IL,desktop,top rated tailored fashion,35,1,0,0,1,0,0.991
E000000724,U000069,S0069-20250102-45,2025-01-02 12:24:00,view,P000020,Beauty,70.21,0.028,69.19,715,3.63,139,WA,desktop,near me brightening beauty,45,31,0,0,0,0,0.991
E000000413,U000056,S0056-20250102-25,2025-01-02 12:26:00,click,P000027,Fashion,46.43,0.098,48.58,536,4.72,328,TX,desktop,near me seasonal fashion,25,43,0,0,0,0,0.991
E000000030,U000006,S0006-20250102-30,2025-01-02 12:49:00,purchase,P000023,Grocery,16.79,0.248,17.29,678,4.71,205,CA,mobile,best high protein grocery,29,2,1,0,1,0,0.991
E000000537,U000057,S0057-20250102-52,2025-01-02 14:20:00,click,P000034,Home,89.99,0.221,82.79,54,4.32,402,NC,desktop,top rated compact home,81,2,0,0,1,0,0.991
E000000761-DUP,U000059,S0059-20250102-82,2025-01-02 14:27:00,view,P000030,Beauty,39.64,0.11,37.42,730,4.41,157,AZ,mobile,fast shipping refillable beauty,80,2,0,0,0,0,0.991
E000000761,U000059,S0059-20250102-82,2025-01-02 14:27:00,view,P000030,Beauty,39.64,0.11,37.42,730,4.41,157,AZ,mobile,fast shipping refillable beauty,80,2,0,0,0,0,0.991
E000000421,U000003,S0003-20250102-33,2025-01-02 14:53:00,click,P000027,Fashion,46.43,0.201,45.67,483,4.72,328,IL,desktop,best premium cotton fashion,83,2,0,0,0,0,0.991
E000000059,U000013,S0013-20250102-59,2025-01-02 15:02:00,add_to_cart,P000030,Beauty,39.64,0.135,39.14,737,4.41,157,FL,mobile,premium clean formula beauty,23,74,0,0,0,0,0.991
E000000287,U000032,S0032-20250102-93,2025-01-02 15:30:00,view,P000031,Sports,39.64,0.12,39.57,443,3.5,443,IL,mobile,best lightweight sports,19,391,0,0,0,0,0.991
E000000037,U000031,S0031-20250102-37,2025-01-02 17:04:00,view,P000024,Grocery,15.33,0.094,16.45,738,4.25,295,NY,desktop,top rated organic grocery,14,1,0,0,0,0,0.991
E000000086,U000073,S0073-20250102-86,2025-01-02 17:28:00,view,P000036,Electronics,535.53,0.069,535.72,442,3.65,335,NC,mobile,premium gaming electronics,17,1,0,0,0,0,0.991
E000000264,U000042,S0042-20250102-70,2025-01-02 17:48:00,purchase,P000025,Sports,103.41,0.057,113.19,656,3.86,96,AZ,mobile,premium recovery sports,40,1,1,0,0,0,0.991
E000000277,U000021,S0021-20250102-83,2025-01-02 17:54:00,view,P000028,Electronics,348.12,0.097,341.12,276,4.14,157,CA,mobile,discount portable electronics,43,1,0,0,0,0,0.991
E000000147,U000067,S0067-20250102-50,2025-01-02 18:04:00,view,P000029,Electronics,245.14,0.041,249.07,251,4.42,229,CA,mobile,top rated smart electronics,40,35,0,0,0,0,0.991
E000000346,U000075,S0075-20250102-55,2025-01-02 18:24:00,view,P000030,Beauty,39.64,0.347,40.74,746,4.41,157,NC,mobile,fast shipping refillable beauty,76,1,0,0,1,0,0.991
E000000210,U000047,S0047-20250102-16,2025-01-02 20:17:00,view,P000006,Grocery,19.48,0.217,17.43,550,4.23,235,NC,tablet,discount pantry grocery,36,2,0,0,1,0,0.991
E000000763,U000063,S0063-20250102-84,2025-01-02 22:18:00,view,P000037,Electronics,370.04,0.072,383.72,824,3.93,113,WA,mobile,fast shipping gaming electronics,80,19,0,0,0,0,0.991
E000000230,U000052,S0052-20250102-36,2025-01-02 22:31:00,search,P000033,Home,161.72,0.255,173.97,155,3.48,206,IL,mobile,discount compact home,36,2,0,0,0,0,0.991
E000000071,U000018,S0018-20250102-71,2025-01-02 23:47:00,add_to_cart,P000026,Electronics,205.52,0.16,199.1,165,3.56,423,IL,mobile,premium smart electronics,20,2,0,0,0,0,0.991
E000000168,U000027,S0027-20250102-71,2025-01-02 23:55:00,click,P000037,Electronics,370.04,0.097,378.34,782,3.93,113,CO,mobile,top rated high resolution electronics,83,33,0,0,0,0,0.991
E000000696,U000021,S0021-20250102-17,2025-01-02 23:55:00,add_to_cart,P000016,Home,95.0,0.07,93.29,734,4.83,256,CA,mobile,best durable home,21,17,0,0,0,0,0.991
E000000685,U000004,S0004-20250103-06,2025-01-03 00:43:00,click,P000037,Electronics,370.04,0.116,396.31,840,3.93,113,FL,desktop,fast shipping portable electronics,48,1,0,0,0,0,0.991
E000000541,U000005,S0005-20250103-56,2025-01-03 00:45:00,search,P000001,Sports,100.43,0.014,98.13,726,4.25,369,GA,mobile,premium lightweight sports,38,12,0,0,0,0,0.991
E000000664,U000005,S0005-20250103-82,2025-01-03 02:18:00,click,P000001,Sports,100.43,0.098,103.11,793,4.25,369,GA,mobile,new breathable sports,56,89,0,0,0,0,0.991
E000000682,U000016,S0016-20250103-03,2025-01-03 02:43:00,view,P000032,Grocery,23.55,0.102,25.91,523,4.85,175,IL,desktop,new high protein grocery,32,1,0,0,0,0,0.991
E000000497,U000031,S0031-20250103-12,2025-01-03 03:32:00,view,P000009,Electronics,701.08,0.229,684.02,572,4.32,151,NY,mobile,new high resolution electronics,38,2,0,0,1,0,0.991
E000000482,U000048,S0048-20250103-94,2025-01-03 03:40:00,view,P000028,Electronics,348.12,0.123,345.89,211,4.14,157,FL,mobile,premium portable electronics,31,2,0,0,0,0,0.991
E000000632,U000012,S0012-20250103-50,2025-01-03 05:06:00,view,P000022,Home,108.23,0.154,111.75,829,3.83,252,GA,mobile,new minimal home,24,3,0,0,0,0,0.991
E000000350,U000002,S0002-20250103-59,2025-01-03 06:05:00,add_to_cart,P000022,Home,108.23,0.123,111.42,861,3.83,252,CO,mobile,discount minimal home,63,2,0,0,0,0,0.991
E000000189,U000030,S0030-20250103-92,2025-01-03 06:53:00,view,P000002,Fashion,49.43,0.082,52.62,525,4.57,590,IL,desktop,new premium cotton fashion,96,3,0,0,0,0,0.991
E000000458,U000075,S0075-20250103-70,2025-01-03 06:59:00,click,P000036,Electronics,535.53,0.177,514.27,447,3.65,335,NC,mobile,top rated portable electronics,56,1,0,0,1,0,0.991
E000000605,U000050,S0050-20250103-23,2025-01-03 07:32:00,view,P000029,Electronics,245.14,0.329,240.97,193,4.42,229,CA,mobile,discount gaming electronics,28,1,0,0,1,0,0.991
E000000501,U000070,S0070-20250103-16,2025-01-03 07:47:00,click,P000013,Beauty,29.05,0.185,30.66,652,3.78,911,WA,mobile,best refillable beauty,17,1,0,0,1,0,0.991
E000000609,U000022,S0022-20250103-27,2025-01-03 08:23:00,view,P000037,Electronics,370.04,0.09,403.62,757,3.93,113,WA,mobile,top rated gaming electronics,8,6,0,0,0,0,0.991
E000000272,U000046,S0046-20250103-78,2025-01-03 09:03:00,view,P000036,Electronics,535.53,0.255,518.36,461,3.65,335,CA,mobile,premium gaming electronics,75,1,0,0,0,0,0.991
E000000439,U000054,S0054-20250103-51,2025-01-03 09:04:00,click,P000037,Electronics,370.04,0.043,356.63,769,3.93,113,TX,desktop,premium portable electronics,20,2,0,0,0,0,0.991
E000000315,U000050,S0050-20250103-24,2025-01-03 09:12:00,view,P000017,Fashion,39.76,0.195,42.61,759,4.11,280,CA,desktop,new tailored fashion,35,1,0,0,1,0,0.991
E000000750,U000048,S0048-20250103-71,2025-01-03 12:06:00,add_to_cart,P000021,Sports,38.68,0.018,33.91,671,4.31,88,FL,mobile,premium breathable sports,42,1,0,0,0,0,0.991
E000000213,U000007,S0007-20250103-19,2025-01-03 13:05:00,purchase,P000007,Sports,48.84,0.36,48.81,53,4.28,97,NC,mobile,best breathable sports,46,2,1,0,1,0,0.991
E000000250,U000029,S0029-20250103-56,2025-01-03 13:07:00,view,P000037,Electronics,370.04,0.082,334.63,851,3.93,113,NC,mobile,best wireless electronics,93,2,0,0,0,0,0.991
E000000543,U000006,S0006-20250103-58,2025-01-03 13:14:00,add_to_cart,P000024,Grocery,15.33,0.193,14.84,727,4.25,295,CA,mobile,premium pantry grocery,27,1,0,0,0,0,0.991
E000000152,U000025,S0025-20250103-55,2025-01-03 13:15:00,view,P000013,Beauty,29.05,0.036,29.66,680,3.78,911,GA,mobile,new daily care beauty,51,1,0,0,0,0,0.991
E000000578,U000020,S0020-20250103-93,2025-01-03 14:26:00,click,P000015,Fashion,41.47,0.084,40.77,428,4.09,348,NY,mobile,fast shipping streetwear fashion,19,1,0,0,0,0,0.991
E000000201,U000035,S0035-20250103-07,2025-01-03 15:00:00,view,P000008,Sports,74.35,0.065,80.66,779,3.43,247,NC,mobile,discount training sports,22,1,0,0,0,0,0.991
E000000788,U000062,S0062-20250103-12,2025-01-03 15:05:00,view,P000003,Grocery,16.87,0.103,16.92,337,4.21,149,CA,mobile,top rated high protein grocery,4,1,0,0,0,0,0.991
E000000405,U000042,S0042-20250103-17,2025-01-03 15:14:00,click,P000013,Beauty,29.05,0.135,30.6,693,3.78,911,AZ,mobile,near me hydrating beauty,34,42,0,0,0,0,0.991
E000000124,U000010,S0010-20250103-27,2025-01-03 15:44:00,view,P000009,Electronics,701.08,0.243,662.74,595,4.32,151,WA,mobile,new wireless electronics,34,1,0,0,1,0,0.991
E000000519,U000039,S0039-20250103-34,2025-01-03 17:41:00,add_to_cart,P000018,Electronics,611.7,0.05,650.59,343,3.7,222,FL,desktop,best portable electronics,30,1,0,0,0,0,0.991
E000000316,U000037,S0037-20250103-25,2025-01-03 17:51:00,view,P000018,Electronics,611.7,0.068,564.2,372,3.7,222,CA,mobile,premium wireless electronics,44,1,0,0,0,0,0.991
E000000502,U000053,S0053-20250103-17,2025-01-03 18:29:00,add_to_cart,P000022,Home,108.23,0.035,108.45,853,3.83,252,WA,mobile,fast shipping minimal home,34,2,0,0,0,0,0.991
E000000319,U000063,S0063-20250103-28,2025-01-03 19:01:00,view,P000005,Electronics,298.98,0.102,290.34,73,4.06,409,WA,mobile,premium portable electronics,38,1,0,0,0,0,0.991
E000000121,U000029,S0029-20250103-24,2025-01-03 19:34:00,add_to_cart,P000023,Grocery,16.79,0.157,,709,4.71,205,NC,mobile,best organic grocery,21,6,0,0,0,0,0.991
E000000738,U000075,S0075-20250103-59,2025-01-03 19:39:00,view,P000039,Home,104.1,0.105,108.43,291,4.74,195,NC,mobile,best minimal home,10,1,0,0,0,0,0.991
E000000126,U000055,S0055-20250103-29,2025-01-03 20:17:00,view,P000040,Beauty,51.15,0.476,50.3,340,4.22,400,CO,tablet,fast shipping brightening beauty,78,1,0,0,1,0,0.991
E000000438,U000020,S0020-20250103-50,2025-01-03 20:42:00,add_to_cart,P000019,Sports,70.52,0.074,62.47,493,4.49,464,NY,mobile,fast shipping recovery sports,39,1,0,0,0,0,0.991
E000000049,U000014,S0014-20250103-49,2025-01-03 20:47:00,view,P000006,Grocery,19.48,0.172,18.79,591,4.23,235,TX,desktop,premium fresh grocery,22,1,0,0,0,0,0.991
E000000420,U000053,S0053-20250103-32,2025-01-03 21:05:00,view,P000034,Home,89.99,0.106,96.42,39,4.32,402,WA,tablet,premium energy saving home,17,19,0,0,0,0,0.991
E000000003,U000063,S0063-20250103-03,2025-01-03 22:03:00,purchase,P000016,Home,95.0,0.18,95.68,758,4.83,256,WA,desktop,fast shipping modern home,44,2,1,0,0,0,0.991
E000000204,U000023,S0023-20250103-10,2025-01-03 22:15:00,view,P000015,Fashion,41.47,0.106,41.11,411,4.09,348,WA,desktop,best tailored fashion,53,10,0,0,0,0,0.991
E000000211,U000009,S0009-20250103-17,2025-01-03 22:21:00,click,P000014,Sports,65.15,0.105,63.17,335,3.52,257,NY,mobile,new training sports,39,1,0,0,0,0,0.991
E000000509,U000019,S0019-20250103-24,2025-01-03 23:22:00,click,P000003,Grocery,16.87,0.09,16.21,371,4.21,149,TX,mobile,top rated family size grocery,31,2,0,0,0,0,0.991
E000000002,U000063,S0063-20250103-02,2025-01-03 23:26:00,click,P000022,Home,108.23,0.09,116.64,890,3.83,252,WA,desktop,fast shipping compact home,6,1,0,0,0,0,0.991
E000000079,U000006,S0006-20250103-79,2025-01-03 23:47:00,view,P000006,Grocery,19.48,0.148,18.14,554,4.23,235,CA,mobile,discount organic grocery,3,1,0,0,0,0,0.991
E000000568,U000072,S0072-20250103-83,2025-01-03 23:56:00,view,P000015,Fashion,41.47,0.049,39.89,365,4.09,348,NC,mobile,premium seasonal fashion,39,36,0,0,0,0,0.991
E000000376,U000036,S0036-20250104-85,2025-01-04 00:38:00,view,P000006,Grocery,19.48,0.17,17.15,567,4.23,235,TX,mobile,premium high protein grocery,40,1,0,0,1,0,1.103
E000000318,U000037,S0037-20250104-27,2025-01-04 00:51:00,view,P000036,Electronics,535.53,0.111,543.15,507,3.65,335,CA,mobile,top rated portable electronics,42,2,0,0,0,0,1.103
E000000514,U000070,S0070-20250104-29,2025-01-04 01:15:00,click,P000013,Beauty,29.05,0.146,27.49,690,3.78,911,WA,mobile,discount brightening beauty,35,1,0,0,0,0,1.103
E000000660,U000058,S0058-20250104-78,2025-01-04 01:15:00,purchase,P000002,Fashion,49.43,0.1,52.4,469,4.57,590,AZ,mobile,fast shipping classic fashion,24,2,1,0,0,0,1.103
E000000507,U000026,S0026-20250104-22,2025-01-04 01:18:00,view,P000030,Beauty,39.64,0.196,40.89,705,4.41,157,NC,mobile,fast shipping daily care beauty,59,3,0,0,1,0,1.103
E000000454,U000021,S0021-20250104-66,2025-01-04 01:35:00,view,P000020,Beauty,70.21,0.132,69.89,650,3.63,139,CA,mobile,top rated brightening beauty,107,1,0,0,1,0,1.103
E000000652,U000024,S0024-20250104-70,2025-01-04 01:42:00,view,P000011,Home,156.14,0.16,160.2,544,3.98,152,CO,desktop,discount minimal home,88,1,0,0,0,0,1.103
E000000679,U000038,S0038-20250104-00,2025-01-04 01:42:00,purchase,P000035,Fashion,56.62,0.072,48.74,290,4.47,166,FL,desktop,premium classic fashion,55,57,1,0,0,0,1.103
E000000697,U000055,S0055-20250104-18,2025-01-04 01:45:00,click,P000030,Beauty,39.64,0.154,,670,4.41,157,CO,desktop,fast shipping refillable beauty,74,1,0,0,0,0,1.103
E000000422,U000066,S0066-20250104-34,2025-01-04 02:48:00,search,P000008,Sports,74.35,0.085,71.94,733,3.43,247,IL,mobile,discount breathable sports,44,2,0,0,0,0,1.103
E000000782,U000022,S0022-20250104-06,2025-01-04 02:52:00,view,P000037,Electronics,370.04,0.049,362.43,761,3.93,113,WA,mobile,best high resolution electronics,45,6,0,0,0,0,1.103
E000000401,U000046,S0046-20250104-13,2025-01-04 03:10:00,search,P000033,Home,161.72,0.214,166.17,186,3.48,206,CA,mobile,fast shipping modern home,24,1,0,0,1,0,1.103
E000000247,U000058,S0058-20250104-53,2025-01-04 04:15:00,view,P000038,Fashion,67.55,0.104,68.43,289,3.54,137,AZ,mobile,fast shipping streetwear fashion,11,4,0,0,0,0,1.103
E000000020,U000064,S0064-20250104-20,2025-01-04 04:49:00,search,P000005,Electronics,298.98,0.197,321.56,40,4.06,409,NC,desktop,fast shipping high resolution electronics,21,6,0,0,0,0,1.103
E000000669,U000061,S0061-20250104-87,2025-01-04 05:08:00,add_to_cart,P000001,Sports,100.43,0.065,103.43,761,4.25,369,AZ,mobile,new breathable sports,142,1,0,0,0,0,1.103
E000000093,U000079,S0079-20250104-93,2025-01-04 06:43:00,view,P000015,Fashion,41.47,0.091,37.6,369,4.09,348,CO,mobile,near me streetwear fashion,14,2,0,0,0,0,1.103
E000000372,U000035,S0035-20250104-81,2025-01-04 06:56:00,purchase,P000030,Beauty,39.64,0.084,41.41,713,4.41,157,NC,tablet,discount clean formula beauty,11,3,1,0,0,0,1.103
E000000433,U000050,S0050-20250104-45,2025-01-04 06:58:00,view,P000039,Home,104.1,0.079,101.38,307,4.74,195,CA,desktop,fast shipping minimal home,10,2,0,0,0,0,1.103
E000000118,U000022,S0022-20250104-21,2025-01-04 07:35:00,view,P000015,Fashion,41.47,0.265,43.19,377,4.09,348,WA,mobile,new tailored fashion,48,1,0,0,0,0,1.103
E000000269,U000016,S0016-20250104-75,2025-01-04 08:08:00,purchase,P000016,Home,95.0,0.087,97.8,787,4.83,256,IL,desktop,new energy saving home,93,2,1,0,0,0,1.103
E000000082,U000058,S0058-20250104-82,2025-01-04 08:31:00,purchase,P000020,Beauty,70.21,0.075,76.29,704,3.63,139,AZ,mobile,discount daily care beauty,21,1,1,0,0,0,1.103
